index,period,attendances
654,2017-02-01,1059
655,2017-02-01,7901
656,2017-02-01,785
657,2017-02-01,1430
658,2017-02-01,702
659,2017-02-01,8112
660,2017-02-01,1238
661,2017-02-01,5324
662,2017-02-01,1255
663,2017-02-01,7214
664,2017-02-01,688
665,2017-02-01,4979
666,2017-02-01,5272
667,2017-02-01,793
668,2017-02-01,3223
669,2017-02-01,325
670,2017-02-01,1207
671,2017-02-01,5779
672,2017-02-01,1110
673,2017-02-01,4103
674,2017-02-01,1844
675,2017-02-01,4164
676,2017-02-01,7142
677,2017-02-01,6993
678,2017-02-01,4751
679,2017-02-01,139
680,2017-02-01,5527
681,2017-02-01,1328
682,2017-02-01,5146
683,2017-02-01,2341
684,2017-02-01,7349
685,2017-02-01,1375
686,2017-02-01,7904
687,2017-02-01,1603
688,2017-02-01,9715
689,2017-02-01,981
690,2017-02-01,3683
691,2017-02-01,2416
692,2017-02-01,1857
693,2017-02-01,2743
694,2017-02-01,1243
695,2017-02-01,3374
696,2017-01-01,20430
697,2017-01-01,632
698,2017-01-01,3227
699,2017-01-01,28420
700,2017-01-01,598
701,2017-01-01,11699
702,2017-01-01,4260
703,2017-01-01,19019
704,2017-01-01,16920
705,2017-01-01,7349
706,2017-01-01,6618
707,2017-01-01,3472
708,2017-01-01,1238
709,2017-01-01,2202
710,2017-01-01,11643
711,2017-01-01,487
712,2017-01-01,11677
713,2017-01-01,701
714,2017-01-01,2903
715,2017-01-01,3892
716,2017-01-01,10039
717,2017-01-01,4313
718,2017-01-01,9744
719,2017-01-01,3585
720,2017-01-01,11007
721,2017-01-01,16752
722,2017-01-01,2045
723,2017-01-01,4713
724,2017-01-01,8628
725,2017-01-01,879
726,2017-01-01,17998
727,2017-01-01,5481
728,2017-01-01,11961
729,2017-01-01,16918
730,2017-01-01,7764
731,2017-01-01,5180
732,2017-01-01,14751
733,2017-01-01,838
734,2017-01-01,417
735,2017-01-01,560
736,2017-01-01,18559
737,2017-01-01,3151
738,2017-01-01,2037
739,2017-01-01,12656
740,2017-01-01,1352
741,2017-01-01,2592
742,2017-01-01,5686
743,2017-01-01,8107
744,2017-01-01,3106
745,2017-01-01,3732
746,2017-01-01,8255
747,2017-01-01,11130
748,2017-01-01,10009
749,2017-01-01,2670
750,2017-01-01,5358
751,2017-01-01,11165
752,2017-01-01,6024
753,2017-01-01,3352
754,2017-01-01,5130
755,2017-01-01,5150
756,2017-01-01,3995
757,2017-01-01,8801
758,2017-01-01,3008
759,2017-01-01,6644
760,2017-01-01,2130
761,2017-01-01,6902
762,2017-01-01,4872
763,2017-01-01,5939
764,2017-01-01,10806
765,2017-01-01,4302
766,2017-01-01,4521
767,2017-01-01,2006
768,2017-01-01,8657
769,2017-01-01,4306
770,2017-01-01,274
771,2017-01-01,513
772,2017-01-01,6258
773,2017-01-01,2134
774,2017-01-01,1789
775,2017-01-01,18898
776,2017-01-01,3317
777,2017-01-01,764
778,2017-01-01,3571
779,2017-01-01,6788
780,2017-01-01,393
781,2017-01-01,5882
782,2017-01-01,97
783,2017-01-01,7088
784,2017-01-01,363
785,2017-01-01,12907
786,2017-01-01,3504
787,2017-01-01,8331
788,2017-01-01,3644
789,2017-01-01,327
790,2017-01-01,561
791,2017-01-01,588
792,2017-01-01,7343
793,2017-01-01,475
794,2017-01-01,7028
795,2017-01-01,4716
796,2017-01-01,4164
797,2017-01-01,8944
798,2017-01-01,799
799,2017-01-01,7547
800,2017-01-01,637
801,2017-01-01,8353
802,2017-01-01,864
803,2017-01-01,5324
804,2017-01-01,4901
805,2017-01-01,14017
806,2017-01-01,1435
807,2017-01-01,172
808,2017-01-01,3033
809,2017-01-01,282
810,2017-01-01,237
811,2017-01-01,2411
812,2017-01-01,13929
813,2017-01-01,1990
814,2017-01-01,2720
815,2017-01-01,8295
816,2017-01-01,3907
817,2017-01-01,9289
818,2017-01-01,1727
819,2017-01-01,466
820,2017-01-01,1690
821,2017-01-01,5655
822,2017-01-01,4949
823,2017-01-01,570
824,2017-01-01,7989
825,2017-01-01,3966
826,2017-01-01,8593
827,2017-01-01,6882
828,2017-01-01,8076
829,2017-01-01,4996
830,2017-01-01,10711
831,2017-01-01,7657
832,2017-01-01,12238
833,2017-01-01,9640
834,2017-01-01,11313
835,2017-01-01,1861
836,2017-01-01,1927
837,2017-01-01,11691
838,2017-01-01,1711
839,2017-01-01,5928
840,2017-01-01,14046
841,2017-01-01,404
842,2017-01-01,4376
843,2017-01-01,6401
844,2017-01-01,3587
845,2017-01-01,3933
846,2017-01-01,7670
847,2017-01-01,3312
848,2017-01-01,5353
849,2017-01-01,9170
850,2017-01-01,4785
851,2017-01-01,726
852,2017-01-01,4195
853,2017-01-01,3060
854,2017-01-01,6896
855,2017-01-01,6984
856,2017-01-01,4996
857,2017-01-01,4829
858,2017-01-01,6947
859,2017-01-01,6534
860,2017-01-01,9209
861,2017-01-01,8074
862,2017-01-01,955
863,2017-01-01,11080
864,2017-01-01,1365
865,2017-01-01,7639
866,2017-01-01,12385
867,2017-01-01,12022
868,2017-01-01,3350
869,2017-01-01,9658
870,2017-01-01,7906
871,2017-01-01,2194
872,2017-01-01,2630
873,2017-01-01,5675
874,2017-01-01,580
875,2017-01-01,10652
876,2017-01-01,11643
877,2017-01-01,1438
878,2017-01-01,10771
879,2017-01-01,2563
880,2017-01-01,3822
881,2017-01-01,205
882,2017-01-01,9071
